subjid,sceneid,sceneorder,schema,desc,cleaned,pattern,pattern (normalised order),
64,1,1,A,green ball that is on top of the blue cube on the right,green ball on-top-of blue right-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
64,2,2,B,red ball which is lying next to the big yellow cube,red ball next-to large yellow cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
64,3,3,C,small blue ball which is lying on top of the green cube and next to the big blue ball,small blue ball on-top-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
64,4,4,D,small yellow cube which is in front of the big yellow cube and to the left of the small red cube,small yellow cube in-front-of large yellow cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
64,5,5,E,blue cube which is on top of the green cube and next to the blue ball,blue cube on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
64,6,6,A,green ball which is in front of the blue cube on the left,green ball in-front-of blue left-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
64,7,7,B,yellow ball which is on top of the big red cube and to the right of the small yellow cube,yellow ball on-top-of large red cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
64,8,8,C,small blue ball which is in front of the green cube and to the left of the big blue ball,small blue ball in-front-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
64,9,9,D,small red cube which is on top of the big red cube and to the right of the small yellow cube,small red cube on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
64,10,10,E,small blue cube which is in front of the small green cube and to the left of the big blue ball,small blue cube in-front-of small green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
65,11,11,A,yellow ball on top of the red cube on the left,yellow ball on-top-of red left-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
65,12,12,B,blue ball in front of the green cube,blue ball in-front-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
65,13,13,C,small red ball on top of the yellow cube,small red ball on-top-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
65,14,14,D,small green cube in front of the larger green cube,small green cube in-front-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
65,15,15,E,yellow cube sitting on top of the red cube,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
65,16,16,A,red ball in front of the yellow cube on the right,red ball in-front-of yellow right-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
65,17,17,B,blue ball sitting on top of the green cube,blue ball on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
65,18,18,C,small red ball in front of the yellow cube,small red ball in-front-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
65,19,19,D,smaller green cube sitting on top of the larger green cube,small green cube on-top-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
65,20,20,E,red cube in front of the yellow cube,red cube in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
66,1,1,A,ball,ball,tg_type,tg_type,
66,2,2,B,ball,ball,tg_type,tg_type,
66,3,3,C,small ball on top of the square,small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
66,4,4,D,smaller yellow square,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
66,5,5,E,blue square,blue cube,tg_col tg_type,tg_col tg_type,
66,6,6,A,ball,ball,tg_type,tg_type,
66,7,7,B,ball,ball,tg_type,tg_type,
66,8,8,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
66,9,9,D,small red square,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
66,10,10,E,blue square,blue cube,tg_col tg_type,tg_col tg_type,
67,11,11,A,yellow ball on top of the red cube on the left,yellow ball on-top-of red left-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
67,12,12,B,blue ball in front of the large green cube,blue ball in-front-of large green cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
67,13,13,C,red ball on top of the yellow cube,red ball on-top-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
67,14,14,D,smaller green cube that is in front of the larger green cube,small green cube in-front-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
67,15,15,E,yellow cube that is on top of the red cube,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
67,16,16,A,red ball that is in front of the yellow cube that is on right,red ball in-front-of yellow right-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
67,17,17,B,blue ball that is on top of the green cube that is on the left,blue ball on-top-of green left-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
67,18,18,C,smaller red ball that is in front of the yellow cube that is on the right,small red ball in-front-of yellow right-hand cube,tg_size tg_col tg_type rel lm_col lm_loc lm_type,tg_size tg_col tg_type rel lm_col lm_loc lm_type,
67,19,19,D,smaller green cube that is on top of the larger green cube that is on the left,small green cube on-top-of large green left-hand cube,tg_size tg_col tg_type rel lm_size lm_col lm_tg_loc tg_type,tg_size tg_col tg_type rel lm_size lm_col lm_loc lm_type,
67,20,20,E,red cube that is in front of the yellow cube,red cube in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
69,11,11,A,ball,ball,tg_type,tg_type,
69,12,12,B,ball,ball,tg_type,tg_type,
69,13,13,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
69,14,14,D,small green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
69,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
69,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
69,17,17,B,ball,ball,tg_type,tg_type,
69,18,18,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
69,19,19,D,small green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
69,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
70,1,1,A,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,2,2,B,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,3,3,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,5,5,E,small blue cube,small blue cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,6,6,A,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,7,7,B,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,8,8,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
70,10,10,E,small blue cube,small blue cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
71,11,11,A,yellow ball on top of the left hand red box,yellow ball on-top-of left-hand red cube,tg_col tg_type rel lm_loc lm_col lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
71,12,12,B,blue ball in front of the green box,blue ball in-front-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
71,13,13,C,small red ball in on top of the yellow box,small red ball on-top-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
71,14,14,D,small green box in front of the large green box,small green cube in-front-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
71,15,15,E,yellow box on top of the red box,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
71,16,16,A,red ball in front of the yellow box,red ball in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
71,17,17,B,blue ball on top of the large green box,blue ball on-top-of large green cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
71,18,18,C,small red ball in front of the yellow box,small red ball in-front-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
71,19,19,D,small green box on top of the large green box,small green cube on-top-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
71,20,20,E,red box in front of the yellow box,red cube in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
72,1,1,A,ball on top of the right hand cube,ball on-top-of right-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
72,2,2,B,ball in front of the left hand cube,ball in-front-of left-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
72,3,3,C,smallest ball,small ball,tg_size tg_type,tg_size tg_type,
72,4,4,D,smallest yel;ow cube on the left,small yellow left-hand cube,tg_tg_size tg_col tg_loc tg_type,tg_size tg_col tg_loc tg_type,
72,5,5,E,blue cube on the right,blue right-hand cube,tg_col tg_loc tg_type,tg_col tg_loc tg_type,
72,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
72,7,7,B,yellow ball on top of the larger cube,yellow ball on-top-of large cube,tg_col tg_type rel lm_size lm_type,tg_col tg_type rel lm_size lm_type,
72,8,8,C,smallest ball,small ball,tg_size tg_type,tg_size tg_type,
72,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
72,10,10,E,foremost cube on the left,front left-hand cube,tg_loc tg_loc tg_type,tg_loc tg_type,
74,1,1,A,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
74,2,2,B,pick up the red ball,red ball,tg_col tg_type,tg_col tg_type,
74,3,3,C,pick up the small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
74,4,4,D,smaller yellow boxes,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
74,5,5,E,small blue box,small blue cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
74,6,6,A,round green ball,green ball,tg_col tg_type,tg_col tg_type,
74,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
74,8,8,C,smaller blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
74,9,9,D,small red box,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
74,10,10,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
